section,metric,value
phase_classifier,test_set_size,483
phase_classifier,accuracy,0.7226
phase_classifier,macro_precision,0.7192
phase_classifier,macro_recall,0.7173
phase_classifier,macro_f1,0.7156
phase_classifier[Fertility],precision,0.5579
phase_classifier[Fertility],recall,0.5
phase_classifier[Fertility],f1,0.5274
phase_classifier[Fertility],support,106
phase_classifier[Follicular],precision,0.7568
phase_classifier[Follicular],recall,0.6512
phase_classifier[Follicular],f1,0.7
phase_classifier[Follicular],support,129
phase_classifier[Luteal],precision,0.7118
phase_classifier[Luteal],recall,0.8345
phase_classifier[Luteal],f1,0.7683
phase_classifier[Luteal],support,145
phase_classifier[Menstrual],precision,0.8505
phase_classifier[Menstrual],recall,0.8835
phase_classifier[Menstrual],f1,0.8667
phase_classifier[Menstrual],support,103
cycle_length_regressor,test_set_size,15
cycle_length_regressor,mae_days,6.0
cycle_length_regressor,rmse_days,9.96
cycle_length_regressor,r2,-0.0785
cycle_length_regressor,within_1_day_pct,6.67
cycle_length_regressor,within_3_day_pct,66.67
cycle_length_regressor,beats_28day_baseline,True
cycle_length_regressor[baseline_28day],mae_days,6.133
cycle_length_regressor[baseline_28day],rmse_days,9.771
cycle_length_regressor[baseline_28day],r2,-0.0379
cycle_length_regressor[baseline_28day],within_1_day_pct,13.33
cycle_length_regressor[baseline_28day],within_3_day_pct,40.0
next_period_date_prediction,test_set_size,15
next_period_date_prediction,mae_days,6.0
next_period_date_prediction,rmse_days,9.96
next_period_date_prediction,r2,-0.0785
next_period_date_prediction,within_1_day_pct,6.67
next_period_date_prediction,within_3_day_pct,66.67
next_period_date_prediction,beats_28day_baseline,True
next_period_date_prediction[baseline_28day],mae_days,6.133
next_period_date_prediction[baseline_28day],rmse_days,9.771
next_period_date_prediction[baseline_28day],r2,-0.0379
next_period_date_prediction[baseline_28day],within_1_day_pct,13.33
next_period_date_prediction[baseline_28day],within_3_day_pct,40.0
